,S.No,Local Government Area,Year,Adult_Population,Suburb Name,Postcode,2016 Median Sold Price
219,24330,Maribyrnong,2016.0,"69,093",Yarraville,3013,800000.0
220,24410,Maroondah,2016.0,"89,771",Bayswater North,3153,560000.0
221,24410,Maroondah,2016.0,"89,771",Croydon,3136,615000.0
222,24410,Maroondah,2016.0,"89,771",Croydon Hills,3136,710000.0
223,24410,Maroondah,2016.0,"89,771",Croydon North,3136,700000.0
224,24410,Maroondah,2016.0,"89,771",Croydon South,3136,600000.0
225,24410,Maroondah,2016.0,"89,771",Heathmont,3135,760000.0
226,24410,Maroondah,2016.0,"89,771",Kilsyth,3137,555000.0
227,24410,Maroondah,2016.0,"89,771",Kilsyth South,3137,695000.0
228,24410,Maroondah,2016.0,"89,771",Ringwood,3134,781000.0
229,24410,Maroondah,2016.0,"89,771",Ringwood East,3135,750000.0
230,24410,Maroondah,2016.0,"89,771",Warranwood,3134,835000.0
231,24600,Melbourne,2016.0,"127,232",Carlton,3053,726000.0
232,24600,Melbourne,2016.0,"127,232",Carlton North,3054,1246000.0
233,24600,Melbourne,2016.0,"127,232",Docklands,3008,1520000.0
234,24600,Melbourne,2016.0,"127,232",East Melbourne,3002,1825000.0
235,24600,Melbourne,2016.0,"127,232",Flemington,3031,815000.0
236,24600,Melbourne,2016.0,"127,232",Kensington,3031,824000.0
237,24600,Melbourne,2016.0,"127,232",Melbourne,3000,602000.0
238,24600,Melbourne,2016.0,"127,232",Melbourne West,3003,780000.0
239,24600,Melbourne,2016.0,"127,232",North Melbourne,3051,925000.0
240,24600,Melbourne,2016.0,"127,232",Parkville,3052,645000.0
241,24600,Melbourne,2016.0,"127,232",Port Melbourne,3207,1268000.0
242,24600,Melbourne,2016.0,"127,232",South Yarra,3141,1400000.0
243,24600,Melbourne,2016.0,"127,232",Southbank,3006,660000.0
244,24650,Melton,2016.0,"102,097",Brookfield,3338,350000.0
245,24650,Melton,2016.0,"102,097",Burnside,3023,430000.0
246,24650,Melton,2016.0,"102,097",Burnside Heights,3023,488000.0
247,24650,Melton,2016.0,"102,097",Caroline Springs,3023,498000.0
248,24650,Melton,2016.0,"102,097",Eynesbury,3338,416000.0
249,24650,Melton,2016.0,"102,097",Hillside,3037,488000.0
250,24650,Melton,2016.0,"102,097",Kurunjang,3337,305000.0
251,24650,Melton,2016.0,"102,097",Melton,3337,272000.0
252,24650,Melton,2016.0,"102,097",Melton South,3338,269000.0
253,24650,Melton,2016.0,"102,097",Melton West,3337,310000.0
254,24650,Melton,2016.0,"102,097",Ravenhall,3023,446000.0
255,24650,Melton,2016.0,"102,097",Rockbank,3335,341000.0
256,24650,Melton,2016.0,"102,097",Taylors Hill,3037,550000.0
257,24650,Melton,2016.0,"102,097",Truganina,3029,400000.0
258,24970,Monash,2016.0,"153,720",Ashwood,3147,1135000.0
259,24970,Monash,2016.0,"153,720",Chadstone,3148,895000.0
260,24970,Monash,2016.0,"153,720",Clayton,3168,890000.0
261,24970,Monash,2016.0,"153,720",Hughesdale,3166,1100000.0
262,24970,Monash,2016.0,"153,720",Huntingdale,3166,846000.0
263,24970,Monash,2016.0,"153,720",Mount Waverley,3149,1220000.0
264,24970,Monash,2016.0,"153,720",Mulgrave,3170,758000.0
265,24970,Monash,2016.0,"153,720",Notting Hill,3168,831000.0
266,24970,Monash,2016.0,"153,720",Oakleigh,3166,970000.0
267,24970,Monash,2016.0,"153,720",Oakleigh East,3166,859000.0
268,24970,Monash,2016.0,"153,720",Wheelers Hill,3150,1000000.0
269,25060,Moonee Valley,2016.0,"97,118",Aberfeldie,3040,1295000.0
270,25060,Moonee Valley,2016.0,"97,118",Airport West,3042,650000.0
271,25060,Moonee Valley,2016.0,"97,118",Ascot Vale,3032,905000.0
272,25060,Moonee Valley,2016.0,"97,118",Avondale Heights,3034,676000.0
273,25060,Moonee Valley,2016.0,"97,118",Essendon,3040,955000.0
274,25060,Moonee Valley,2016.0,"97,118",Essendon North,3041,688000.0
275,25060,Moonee Valley,2016.0,"97,118",Essendon West,3040,925000.0
276,25060,Moonee Valley,2016.0,"97,118",Keilor East,3033,672000.0
277,25060,Moonee Valley,2016.0,"97,118",Moonee Ponds,3039,915000.0
278,25060,Moonee Valley,2016.0,"97,118",Niddrie,3042,830000.0
279,25060,Moonee Valley,2016.0,"97,118",Strathmore,3041,1048000.0
280,25060,Moonee Valley,2016.0,"97,118",Strathmore Heights,3041,755000.0
281,25250,Moreland,2016.0,"136,461",Brunswick,3056,850000.0
282,25250,Moreland,2016.0,"136,461",Brunswick East,3057,815000.0
283,25250,Moreland,2016.0,"136,461",Brunswick West,3055,795000.0
284,25250,Moreland,2016.0,"136,461",Fawkner,3060,525000.0
285,25250,Moreland,2016.0,"136,461",Glenroy,3046,501000.0
286,25250,Moreland,2016.0,"136,461",Gowanbrae,3043,591000.0
287,25250,Moreland,2016.0,"136,461",Hadfield,3046,541000.0
288,25250,Moreland,2016.0,"136,461",Oak Park,3046,625000.0
289,25250,Moreland,2016.0,"136,461",Pascoe Vale,3044,600000.0
290,25250,Moreland,2016.0,"136,461",Pascoe Vale South,3044,749000.0
291,25250,Moreland,2016.0,"136,461",Tullamarine,3043,455000.0
292,25340,Mornington Peninsula,2016.0,"128,156",Balnarring,3926,650000.0
293,25340,Mornington Peninsula,2016.0,"128,156",Balnarring Beach,3926,950000.0
294,25340,Mornington Peninsula,2016.0,"128,156",Baxter,3911,403000.0
295,25340,Mornington Peninsula,2016.0,"128,156",Bittern,3918,450000.0
296,25340,Mornington Peninsula,2016.0,"128,156",Blairgowrie,3942,750000.0
297,25340,Mornington Peninsula,2016.0,"128,156",Cape Schanck,3939,725000.0
298,25340,Mornington Peninsula,2016.0,"128,156",Crib Point,3919,350000.0
299,25340,Mornington Peninsula,2016.0,"128,156",Dromana,3936,590000.0
300,25340,Mornington Peninsula,2016.0,"128,156",Fingal,3939,875000.0
301,25340,Mornington Peninsula,2016.0,"128,156",Flinders,3929,1350000.0
302,25340,Mornington Peninsula,2016.0,"128,156",Hastings,3915,375000.0
303,25340,Mornington Peninsula,2016.0,"128,156",Main Ridge,3928,1908000.0
304,25340,Mornington Peninsula,2016.0,"128,156",McCrae,3938,628000.0
305,25340,Mornington Peninsula,2016.0,"128,156",Merricks Beach,3926,750000.0
306,25340,Mornington Peninsula,2016.0,"128,156",Mornington,3931,661000.0
307,25340,Mornington Peninsula,2016.0,"128,156",Mount Eliza,3930,875000.0
308,25340,Mornington Peninsula,2016.0,"128,156",Mount Martha,3934,770000.0
309,25340,Mornington Peninsula,2016.0,"128,156",Portsea,3944,1853000.0
310,25340,Mornington Peninsula,2016.0,"128,156",Red Hill,3937,883000.0
311,25340,Mornington Peninsula,2016.0,"128,156",Red Hill South,3937,1158000.0
312,25340,Mornington Peninsula,2016.0,"128,156",Rosebud,3939,435000.0
313,25340,Mornington Peninsula,2016.0,"128,156",Rye,3941,522000.0
314,25340,Mornington Peninsula,2016.0,"128,156",Safety Beach,3936,615000.0
315,25340,Mornington Peninsula,2016.0,"128,156",Shoreham,3916,1300000.0
316,25340,Mornington Peninsula,2016.0,"128,156",Somers,3927,740000.0
317,25340,Mornington Peninsula,2016.0,"128,156",Somerville,3912,450000.0
318,25340,Mornington Peninsula,2016.0,"128,156",Sorrento,3943,980000.0
319,25340,Mornington Peninsula,2016.0,"128,156",St Andrews Beach,3941,680000.0
320,25340,Mornington Peninsula,2016.0,"128,156",Tootgarook,3941,445000.0
321,25340,Mornington Peninsula,2016.0,"128,156",Tyabb,3913,425000.0
322,25710,Nillumbik,2016.0,"49,213",Diamond Creek,3089,610000.0
323,25710,Nillumbik,2016.0,"49,213",Doreen,3754,475000.0
324,25710,Nillumbik,2016.0,"49,213",Hurstbridge,3099,561000.0
325,25710,Nillumbik,2016.0,"49,213",Kangaroo Ground,3097,1298000.0
326,25710,Nillumbik,2016.0,"49,213",Kinglake,3763,413000.0
327,25710,Nillumbik,2016.0,"49,213",Kinglake West,3757,460000.0
328,25710,Nillumbik,2016.0,"49,213",Panton Hill,3759,833000.0
329,25710,Nillumbik,2016.0,"49,213",Plenty,3090,978000.0
330,25710,Nillumbik,2016.0,"49,213",Research,3095,940000.0
331,25710,Nillumbik,2016.0,"49,213",St Andrews,3761,703000.0
332,25710,Nillumbik,2016.0,"49,213",Warrandyte North,3113,763000.0
333,25710,Nillumbik,2016.0,"49,213",Wattle Glen,3096,600000.0
334,25710,Nillumbik,2016.0,"49,213",Yarrambat,3091,1070000.0
335,25900,Port Phillip,2016.0,"89,077",Albert Park,3206,1723000.0
336,25900,Port Phillip,2016.0,"89,077",Balaclava,3183,1170000.0
337,25900,Port Phillip,2016.0,"89,077",Elwood,3184,1600000.0
338,25900,Port Phillip,2016.0,"89,077",Middle Park,3206,1950000.0
339,25900,Port Phillip,2016.0,"89,077",Ripponlea,3185,1460000.0
340,25900,Port Phillip,2016.0,"89,077",South Melbourne,3205,1200000.0
341,25900,Port Phillip,2016.0,"89,077",St Kilda,3182,965000.0
342,25900,Port Phillip,2016.0,"89,077",St Kilda East,3183,1368000.0
343,25900,Port Phillip,2016.0,"89,077",St Kilda West,3182,1913000.0
344,25900,Port Phillip,2016.0,"89,077",Windsor,3181,1151000.0
345,26350,Stonnington,2016.0,"90,965",Armadale,3143,2015000.0
346,26350,Stonnington,2016.0,"90,965",Glen Iris,3146,1784000.0
347,26350,Stonnington,2016.0,"90,965",Kooyong,3144,3275000.0
348,26350,Stonnington,2016.0,"90,965",Malvern,3144,1970000.0
349,26350,Stonnington,2016.0,"90,965",Malvern East,3145,1488000.0
350,26350,Stonnington,2016.0,"90,965",Prahran,3181,1303000.0
351,26350,Stonnington,2016.0,"90,965",Toorak,3142,3298000.0
352,26980,Whitehorse,2016.0,"134,835",Blackburn,3130,1175000.0
353,26980,Whitehorse,2016.0,"134,835",Blackburn North,3130,925000.0
354,26980,Whitehorse,2016.0,"134,835",Blackburn South,3130,948000.0
355,26980,Whitehorse,2016.0,"134,835",Box Hill,3128,1035000.0
356,26980,Whitehorse,2016.0,"134,835",Box Hill North,3129,1050000.0
357,26980,Whitehorse,2016.0,"134,835",Box Hill South,3128,1120000.0
358,26980,Whitehorse,2016.0,"134,835",Burwood East,3151,988000.0
359,26980,Whitehorse,2016.0,"134,835",Forest Hill,3131,879000.0
360,26980,Whitehorse,2016.0,"134,835",Mitcham,3132,852000.0
361,26980,Whitehorse,2016.0,"134,835",Mont Albert North,3129,1350000.0
362,26980,Whitehorse,2016.0,"134,835",Vermont,3133,857000.0
363,26980,Whitehorse,2016.0,"134,835",Vermont South,3133,1053000.0
364,27070,Whittlesea,2016.0,"155,311",Beveridge,3753,430000.0
365,27070,Whittlesea,2016.0,"155,311",Eden Park,3757,714000.0
366,27070,Whittlesea,2016.0,"155,311",Epping,3076,428000.0
367,27070,Whittlesea,2016.0,"155,311",Lalor,3075,460000.0
368,27070,Whittlesea,2016.0,"155,311",Mernda,3754,424000.0
369,27070,Whittlesea,2016.0,"155,311",Mill Park,3082,500000.0
370,27070,Whittlesea,2016.0,"155,311",Morang South,3752,475000.0
371,27070,Whittlesea,2016.0,"155,311",Thomastown,3074,446000.0
372,27070,Whittlesea,2016.0,"155,311",Whittlesea,3757,424000.0
373,27070,Whittlesea,2016.0,"155,311",Wollert,3750,443000.0
374,27260,Wyndham,2016.0,"163,311",Hoppers Crossing,3029,380000.0
375,27260,Wyndham,2016.0,"163,311",Little River,3211,700000.0
376,27260,Wyndham,2016.0,"163,311",Point Cook,3030,480000.0
377,27260,Wyndham,2016.0,"163,311",Tarneit,3029,410000.0
378,27260,Wyndham,2016.0,"163,311",Werribee,3030,358000.0
379,27260,Wyndham,2016.0,"163,311",Werribee South,3030,619000.0
380,27260,Wyndham,2016.0,"163,311",Williams Landing,3027,510000.0
381,27260,Wyndham,2016.0,"163,311",Wyndham Vale,3024,345000.0
382,27350,Yarra,2016.0,"76,983",Abbotsford,3067,893000.0
383,27350,Yarra,2016.0,"76,983",Alphington,3078,1250000.0
384,27350,Yarra,2016.0,"76,983",Burnley,3121,933000.0
385,27350,Yarra,2016.0,"76,983",Clifton Hill,3068,1164000.0
386,27350,Yarra,2016.0,"76,983",Collingwood,3066,841000.0
387,27350,Yarra,2016.0,"76,983",Cremorne,3121,1000000.0
388,27350,Yarra,2016.0,"76,983",Fairfield,3078,1110000.0
389,27350,Yarra,2016.0,"76,983",Fitzroy,3065,1051000.0
390,27350,Yarra,2016.0,"76,983",Fitzroy North,3068,1157000.0
391,27350,Yarra,2016.0,"76,983",Princes Hill,3054,1330000.0
392,27350,Yarra,2016.0,"76,983",Richmond,3121,1006000.0
393,27450,Yarra Ranges,2016.0,"121,080",Badger Creek,3777,420000.0
394,27450,Yarra Ranges,2016.0,"121,080",Belgrave,3160,515000.0
395,27450,Yarra Ranges,2016.0,"121,080",Belgrave Heights,3160,600000.0
396,27450,Yarra Ranges,2016.0,"121,080",Belgrave South,3160,680000.0
397,27450,Yarra Ranges,2016.0,"121,080",Chirnside Park,3116,590000.0
398,27450,Yarra Ranges,2016.0,"121,080",Coldstream,3770,502000.0
399,27450,Yarra Ranges,2016.0,"121,080",Don Valley,3139,456000.0
400,27450,Yarra Ranges,2016.0,"121,080",Ferny Creek,3786,660000.0
401,27450,Yarra Ranges,2016.0,"121,080",Gruyere,3770,846000.0
402,27450,Yarra Ranges,2016.0,"121,080",Healesville,3777,485000.0
403,27450,Yarra Ranges,2016.0,"121,080",Kallista,3791,597000.0
404,27450,Yarra Ranges,2016.0,"121,080",Kalorama,3766,550000.0
405,27450,Yarra Ranges,2016.0,"121,080",Launching Place,3139,449000.0
406,27450,Yarra Ranges,2016.0,"121,080",Lilydale,3140,560000.0
407,27450,Yarra Ranges,2016.0,"121,080",Millgrove,3799,297000.0
408,27450,Yarra Ranges,2016.0,"121,080",Monbulk,3793,550000.0
409,27450,Yarra Ranges,2016.0,"121,080",Montrose,3765,610000.0
410,27450,Yarra Ranges,2016.0,"121,080",Mooroolbark,3138,567000.0
411,27450,Yarra Ranges,2016.0,"121,080",Mount Dandenong,3767,575000.0
412,27450,Yarra Ranges,2016.0,"121,080",Mount Evelyn,3796,533000.0
413,27450,Yarra Ranges,2016.0,"121,080",Olinda,3788,650000.0
414,27450,Yarra Ranges,2016.0,"121,080",Selby,3159,500000.0
415,27450,Yarra Ranges,2016.0,"121,080",Seville,3139,478000.0
416,27450,Yarra Ranges,2016.0,"121,080",Seville East,3139,437000.0
417,27450,Yarra Ranges,2016.0,"121,080",Sherbrooke,3789,678000.0
418,27450,Yarra Ranges,2016.0,"121,080",Silvan,3795,760000.0
419,27450,Yarra Ranges,2016.0,"121,080",Tecoma,3160,550000.0
420,27450,Yarra Ranges,2016.0,"121,080",The Patch,3792,605000.0
421,27450,Yarra Ranges,2016.0,"121,080",Upwey,3158,550000.0
422,27450,Yarra Ranges,2016.0,"121,080",Wandin North,3139,495000.0
423,27450,Yarra Ranges,2016.0,"121,080",Warburton,3799,335000.0
424,27450,Yarra Ranges,2016.0,"121,080",Warburton East,3799,360000.0
425,27450,Yarra Ranges,2016.0,"121,080",Wesburn,3799,440000.0
426,27450,Yarra Ranges,2016.0,"121,080",Woori Yallock,3139,375000.0
427,27450,Yarra Ranges,2016.0,"121,080",Yarra Glen,3775,550000.0
428,27450,Yarra Ranges,2016.0,"121,080",Yarra Junction,3797,422000.0
